,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0.111,0.621,174857.0,0.744,5.48e-06,6.0,0.333,-5.881,1.0,0.048,139.979,4.0,0.741
1,0.533,0.799,177704.0,0.48,0.0158,9.0,0.131,-9.839,1.0,0.069,113.428,4.0,0.635
2,0.795,0.795,171928.0,0.462,5.67e-06,1.0,0.11,-11.212,0.0,0.0658,134.998,4.0,0.626
3,0.872,0.656,232533.0,0.291,0.0,2.0,0.114,-10.572,1.0,0.0293,103.971,4.0,0.298
4,0.923,0.87,111000.0,0.33,0.085,5.0,0.0949,-12.329,1.0,0.0373,114.885,4.0,0.542
5,0.0874,0.621,236440.0,0.843,0.000196,6.0,0.106,-5.412,1.0,0.0315,132.01,4.0,0.445
6,0.882,0.434,200973.0,0.487,0.394,2.0,0.102,-7.485,1.0,0.026,82.014,3.0,0.126
7,0.972,0.124,599653.0,0.106,0.919,0.0,0.0802,-22.245,0.0,0.0394,78.658,4.0,0.0456
8,0.975,0.107,655080.0,0.023,0.893,4.0,0.0732,-28.564,1.0,0.0415,74.848,4.0,0.0373
9,0.774,0.651,252016.0,0.414,0.000478,2.0,0.122,-5.754,0.0,0.031,88.983,4.0,0.23
10,0.428,0.771,117499.0,0.468,0.0751,1.0,0.11,-6.015,1.0,0.0539,123.727,4.0,0.554
11,0.625,0.756,236491.0,0.469,0.0,6.0,0.129,-8.491,0.0,0.469,139.85,4.0,0.623
12,0.636,0.737,159130.0,0.5,0.00138,11.0,0.104,-11.229,0.0,0.173,92.016,4.0,0.561
13,0.412,0.782,195806.0,0.48,1.59e-06,10.0,0.201,-8.913,0.0,0.3,90.094,4.0,0.781
14,0.535,0.806,235427.0,0.362,0.045,7.0,0.111,-10.381,1.0,0.0345,127.502,4.0,0.42
15,0.132,0.681,160936.0,0.711,0.0,9.0,0.128,-4.306,1.0,0.0281,113.933,4.0,0.686
16,0.066,0.689,226006.0,0.463,0.000152,2.0,0.145,-8.121,0.0,0.0365,86.998,4.0,0.864
17,0.0932,0.801,181747.0,0.718,0.0331,2.0,0.186,-7.357,1.0,0.0421,122.994,4.0,0.758
18,0.0888,0.614,245816.0,0.469,0.21,8.0,0.112,-6.603,1.0,0.0605,85.994,4.0,0.292
19,0.755,0.422,228600.0,0.303,0.385,5.0,0.104,-14.457,1.0,0.0413,132.038,5.0,0.069
20,0.71,0.758,239835.0,0.337,1.94e-05,0.0,0.165,-9.776,1.0,0.0494,93.01,4.0,0.368
21,0.00403,0.655,199440.0,0.767,0.0,11.0,0.287,-4.537,0.0,0.0481,120.044,4.0,0.582
22,0.0279,0.763,180000.0,0.271,0.845,2.0,0.0352,-10.282,1.0,0.0303,119.4,4.0,0.622
23,0.497,0.643,202866.0,0.512,0.0,11.0,0.107,-6.104,1.0,0.0238,99.98,4.0,0.68
24,0.00209,0.542,175644.0,0.732,7.92e-05,9.0,0.496,-5.956,1.0,0.0521,124.912,4.0,0.489
