songName,songArtist,spotifyURI,r,g,b,albumName
1 2 365 4 Me,Kennen,spotify:track:6TtDPG6eFqDGooeyKYXaea,213,0,50,
Suzanne,Bermuda Triangle,spotify:track:3MBZ0BaWosUjsn40TeYYk5,254,243,128,
Trace,Micah Marcos,spotify:track:1CXeNAaiWBBOkpstvC8WJp,250,222,133,
Hey There Delilah,Plain White T's,spotify:track:4RCWB3V8V0dignt99LZ8vH,255,214,98,
???,Yuma Yamaguchi,spotify:track:3quI9fle27boUZXStQKtxy,254,219,0,
Off She Goes,Bad Suns,spotify:track:277XsneDiv30dhONPCOmrF,255,198,0,
Soft Sounds from Another Planet,Japanese Breakfast,spotify:track:1NZ2QNpN1jWvCOuUEN6VZ1,248,143,88,
"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato","Sergei Rachmaninoff, Khatia Buniatishvili, Paavo Järvi",spotify:track:7fcDQg8prLdJwim6Ey7neB,105,60,94,
"Piano Concerto No. 2 in C Minor, Op. 18: II. Adagio sostenuto","Sergei Rachmaninoff, Khatia Buniatishvili, Paavo Järvi",spotify:track:09rSXt91Fe1b6ZBjKrbzhL,105,60,94,
Die With a Smile,FKJ,spotify:track:00xjXIoyDIQYSYve03VsXf,118,196,37,
Calvaire,spill tab,spotify:track:1rJRb5A6ZfqOuqLCwpD7Ld,255,180,218,
Honey,Johnny Balik,spotify:track:3p7byaSR5J1he8vvDkxirp,244,232,140,
moonlight,dhruv,spotify:track:4d83gRvk3DHU5cWBbyOlSk,220,239,146,
Ginny,Sylo Nozra,spotify:track:6i5a50hEuC7FtJoBVqKpcT,67,222,149,
The Most Beautiful Thing,Bruno Major,spotify:track:5unXHHcSQLGO19RuVqZB6d,242,218,167,
Moon Moon Baby,HOAX,spotify:track:5ufJWxV5e2hp0xr7XNW2Eg,250,128,35,
OUTTA MY MIND,Monsune,spotify:track:7zTTDkkLkJ2iHAqq1daDCr,48,201,156,
1st Time,Bakar,spotify:track:4udjo5nLK61pKajakfrndc,245,215,24,
Canggu,FKJ,spotify:track:5Wx9xfNURyR3OaMNNlEk8j,235,182,103,
